id,game_id,hastily,normally,completely,count,created_at,updated_at
749,7058,,1,1728556552,1728556552,,21600.0
750,2438,41400.0,2,1728556552,1728556552,25200.0,54000.0
751,3693,,1,1728556552,1728556552,21600.0,
752,2685,,1,1728556552,1728556552,25200.0,
753,18222,18750.0,5,1728556552,1754040715,7200.0,22290.0
754,3751,,1,1728556552,1728556552,18000.0,
755,571,25200.0,2,1728556552,1760013649,,99000.0
756,1853,41880.0,2,1728556552,1728556552,11760.0,11760.0
757,8749,,1,1728556552,1728556552,,54000.0
758,4081,,1,1728556552,1728556552,,28800.0
759,11276,9270.0,4,1728556553,1754040689,3600.0,15860.0
760,2540,,1,1728556553,1728556553,50400.0,
761,9475,,1,1728556553,1728556553,14400.0,
762,8354,,1,1728556553,1728556553,,72000.0
763,2693,,1,1728556553,1728556553,28800.0,
764,475,28800.0,2,1728556553,1728556553,,90000.0
765,6182,,1,1728556553,1728556553,,28800.0
766,339,,1,1728556553,1728556553,,144000.0
767,7469,54000.0,2,1728556553,1748613165,43200.0,
768,8864,104400.0,1,1728556553,1728556553,,
769,6743,97200.0,1,1728556553,1728556553,,
770,3020,32850.0,6,1728556553,1748614090,3600.0,91200.0
771,10479,27360.0,1,1728556553,1728556553,,
772,7832,8280.0,2,1728556553,1728556553,,
773,11270,27000.0,4,1728556553,1729654117,25200.0,50040.0
774,22023,9000.0,3,1728556553,1753029790,4500.0,13800.0
775,22038,9660.0,1,1728556553,1728556553,,
776,8173,5760000.0,3,1728556553,1728556553,,
777,1027,,1,1728556553,1728556553,,57600.0
778,22181,,1,1728556553,1728556553,4080.0,
779,2262,178200.0,2,1728556553,1744032556,,
780,2164,28800.0,2,1728556553,1728556553,,
781,1919,26640.0,3,1728556553,1753017147,25380.0,50400.0
782,429,34900.0,4,1728556553,1746184360,,32400.0
783,3149,51300.0,2,1728556553,1748604655,,93600.0
784,3150,59700.0,1,1728556553,1728556553,,
785,7351,63385.0,15,1728556553,1757271663,28800.0,129600.0
786,6897,288000.0,2,1728556553,1728556553,144000.0,504000.0
787,910,50400.0,3,1728556553,1748612693,,61200.0
788,22358,3600.0,1,1728556553,1728556553,,
789,21874,288000.0,1,1728556553,1728556553,,720000.0
790,9553,216000.0,1,1728556553,1728556553,144000.0,522000.0
791,11104,29940.0,1,1728556553,1728556553,34800.0,36720.0
792,13923,66000.0,3,1728556554,1759925640,41400.0,180000.0
793,22361,7200.0,1,1728556554,1728556554,5400.0,10800.0
794,17696,72000.0,1,1728556554,1728556554,,
795,23245,23400.0,1,1728556554,1728556554,1500.0,23400.0
796,1889,128760.0,2,1728556554,1728556554,,
797,23862,,1,1728556554,1728556554,26520.0,
798,9066,720000.0,2,1728556554,1728556554,67680.0,
799,22439,461160.0,7,1728556554,1756393987,216000.0,690880.0
800,1284,,1,1728556554,1728556554,27600.0,
801,24017,,1,1728556554,1728556554,6300.0,
802,20437,36000.0,2,1728556554,1746128609,,39600.0
803,18484,16200.0,1,1728556554,1728556554,1380.0,19200.0
804,25030,,1,1728556554,1728556554,,1200.0
805,18320,32070.0,2,1728556554,1728556554,32400.0,43200.0
806,7087,20820.0,1,1728556554,1728556554,16560.0,34440.0
807,13212,6260.0,3,1728556554,1748611522,4320.0,5520.0
808,15712,,1,1728556554,1728556554,,525600.0
809,2136,48620.0,3,1728556554,1728556554,,
810,2172,34200.0,3,1728556554,1759294027,27000.0,177600.0
811,18221,,1,1728556554,1728556554,54000.0,
812,18061,600.0,1,1728556554,1728556554,600.0,600.0
813,295,54000.0,2,1728556554,1759372686,12660.0,126000.0
814,25775,,1,1728556554,1728556554,,7200.0
815,11545,42000.0,1,1728556554,1728556554,,
816,7323,88277.0,13,1728556554,1754526754,,192744.0
817,21863,109040.0,3,1728556554,1728556554,,
818,1886,61200.0,1,1728556554,1728556554,54000.0,68400.0
819,26255,,1,1728556554,1728556554,,9000.0
820,966,16560.0,3,1728556554,1728556554,7620.0,
821,9604,3920.0,5,1728556554,1728556554,1920.0,1557481.0
822,18211,,1,1728556554,1728556554,,
823,11328,,1,1728556554,1728556554,,57600.0
824,8352,10560.0,4,1728556554,1730213575,5400.0,14400.0
825,491,54000.0,2,1728556554,1728556554,,108000.0
826,1182,54900.0,2,1728556554,1728556554,,
827,10962,198000.0,3,1728556555,1736590938,,198000.0
828,21599,6810.0,2,1728556555,1728556555,,
829,23354,14400.0,1,1728556555,1728556555,,
830,18011,8145.0,4,1728556555,1729978961,3600.0,16920.0
831,24398,60900.0,1,1728556555,1728556555,,
832,5495,32940.0,1,1728556555,1728556555,29460.0,
833,7120,69570.0,2,1728556555,1728556555,,
834,7122,23520.0,1,1728556555,1728556555,,
835,1226,57930.0,2,1728556555,1748592600,54000.0,108000.0
836,15731,1740.0,3,1728556555,1752995773,3600.0,3600.0
837,396,13740.0,1,1728556555,1728556555,,
838,26712,12840.0,1,1728556555,1728556555,,
839,403,45600.0,2,1728556555,1749024891,54000.0,108000.0
840,3718,9680.0,3,1728556555,1742467905,,18000.0
841,1028,43200.0,2,1728556555,1728556555,,30600.0
842,419,108000.0,2,1728556555,1749028573,90000.0,134400.0
843,207,32400.0,2,1728556555,1728556555,,
844,13166,,2,1728556555,1728556555,,209280.0
845,24920,20920.0,4,1728556555,1746182421,,75600.0
846,1963,17070.0,2,1728556555,1754984010,10800.0,43200.0
847,1107,8580.0,1,1728556555,1728556555,,
848,6732,20820.0,2,1728556555,1728556555,,20820.0
849,24220,138795.0,4,1728556555,1753988301,43200.0,
850,7612,,2,1728556555,1728556555,,53640.0
851,14527,,1,1728556555,1728556555,,6480.0
852,15862,21600.0,4,1728556555,1742896472,14400.0,27450.0
853,7006,,1,1728556555,1728556555,,13320.0
854,10088,,1,1728556555,1728556555,,20280.0
855,3225,,1,1728556555,1728556555,,169740.0
856,13101,10800.0,2,1728556555,1741804790,,23460.0
857,9865,,1,1728556555,1728556555,,8160.0
858,1653,,2,1728556555,1728556555,3000.0,16680.0
859,239,72000.0,2,1728556556,1728556556,42960.0,
860,5629,468000.0,2,1728556556,1745901657,18070200.0,1800000.0
861,1354,,1,1728556556,1728556556,,21600.0
862,7610,40800.0,3,1728556556,1747754960,,
863,1827,39600.0,3,1728556556,1751983545,,
864,11204,14200.0,3,1728556556,1729431081,10800.0,
865,6880,43200.0,2,1728556556,1730305291,,75600.0
866,5062,61200.0,2,1728556556,1728556556,30600.0,
867,27028,4800.0,1,1728556556,1728556556,,
868,27148,3240.0,2,1728556556,1728556556,,
869,27149,2520.0,1,1728556556,1728556556,,
870,15465,57600.0,4,1728556556,1744405865,39600.0,64260.0
871,6080,14400.0,2,1728556556,1759564718,6000.0,21600.0
872,6081,,1,1728556556,1728556556,3600.0,
873,1570,55800.0,1,1728556556,1728556556,,
874,27194,21600.0,1,1728556556,1728556556,14400.0,36000.0
